species,date_of_search,family,lon,lat,year,country
Leopardus tigrinus,2021-05-04,Felidae,-51.2299995422363,-30.0331001281738,2008,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-51.1483001708984,-29.8246994018555,1983,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-51.1483001708984,-29.8246994018555,1983,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-51.1483001708984,-29.8246994018555,1983,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-51.1483001708984,-29.8246994018555,1983,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-44.3616981506348,-15.4881000518799,1989,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-50.7411,-23.7275,2000,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-52.4067001342773,-28.2628002166748,2008,Brasil
Leopardus tigrinus,2021-05-04,Felidae,-51.867802,-21.2278,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.7425,-21.6786,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.010601,-23.015301,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.313301,-22.1131,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.400799,-20.538601,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.555302,-24.708099,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.340801,-24.115,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.780602,-20.5061,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.7635,-22.264,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.838901,-23.0058,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.764801,-22.4235,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-47.7118,-22.2449,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49,-22.2167,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.9333,-22.133301,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.033299,-22.0833,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.1833,-21.983299,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.166699,-22.116699,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-49.099998,-22.1,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.916699,-22.5,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.900002,-22.4667,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-48.900002,-22.4667,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-46.983299,-23.2833,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-46.883301,-23.200001,NA,Brazil
Leopardus tigrinus,2021-05-04,Felidae,-46.349998,-23.266701,NA,Brazil
