family,species,lon,lat,year,country
Felidae,Leopardus geoffroyi,-65.249133,-44.048496,2011,AR
Felidae,Leopardus geoffroyi,-57.196157,-28.544701,2016,AR
Felidae,Leopardus geoffroyi,-57.100067,-28.449393,2011,AR
Felidae,Leopardus geoffroyi,-57.213364,-28.54291,2007,AR
Felidae,Leopardus guigna,-73.71259,-41.887522,2016,CL
Felidae,Leopardus geoffroyi,-57.173456,-28.536053,2007,AR
Felidae,Leopardus geoffroyi,-58.892878,-34.216749,2018,AR
Felidae,Leopardus geoffroyi,-57.610187,-37.880343,2020,AR
Felidae,Leopardus guigna,-71.36819,-35.319479,2019,CL
Felidae,Leopardus guttulus,-46.74273,-22.87518,2020,BR
Felidae,Leopardus geoffroyi,-60.878127,-31.398978,2020,AR
Felidae,Leopardus guigna,-72.538199,-35.925985,2020,CL
Felidae,Leopardus geoffroyi,-58.671937,-37.586645,2018,AR
Felidae,Leopardus tigrinus,-78.071014,0.391808,2014,EC
Felidae,Leopardus geoffroyi,-58.760808,-37.747373,2016,AR
Felidae,Leopardus geoffroyi,-56.734121,-36.597613,2015,AR
Felidae,Leopardus geoffroyi,-56.734164,-36.595994,2015,AR
Felidae,Leopardus tigrinus,-77.12546,0.64538,2019,CO
Felidae,Leopardus tigrinus,-78.076213,0.258119,2018,EC
Felidae,Leopardus tigrinus,-78.133499,0.394435,2018,EC
Felidae,Leopardus tigrinus,-78.136253,0.390673,2015,EC
Felidae,Leopardus geoffroyi,-61.100417,-31.387164,2017,AR
Felidae,Leopardus tigrinus,-78.179465,0.291871,2018,EC
Felidae,Leopardus geoffroyi,-56.733649,-36.596924,2015,AR
Felidae,Leopardus geoffroyi,-57.173456,-28.536053,2012,AR
Felidae,Leopardus tigrinus,-54.033203,-12.499641,1800,BR
Felidae,Leopardus geoffroyi,-56.933878,-36.544511,2020,AR
Felidae,Leopardus geoffroyi,-57.198953,-28.544812,2015,AR
Felidae,Leopardus geoffroyi,-57.203013,-28.548501,2007,AR
Felidae,Leopardus geoffroyi,-57.199442,-28.546232,2008,AR
Felidae,Leopardus geoffroyi,-56.308716,-34.796143,2020,UY
Felidae,Leopardus geoffroyi,-53.752056,-32.134864,2015,UY
Felidae,Leopardus geoffroyi,-53.752056,-32.134864,2015,UY
Felidae,Leopardus geoffroyi,-53.752056,-32.134864,2015,UY
Felidae,Leopardus geoffroyi,-65.088558,-43.371143000000004,2011,AR
Felidae,Leopardus geoffroyi,-58.713409,-38.576212,2020,AR
Felidae,Leopardus geoffroyi,-57.185344,-28.536002,2020,AR
Felidae,Leopardus geoffroyi,-56.773219,-36.305568,2009,AR
Felidae,Leopardus geoffroyi,-64.768714,-31.993058,2019,AR
Felidae,Leopardus geoffroyi,-57.195908,-28.545999,2007,AR
Felidae,Leopardus guigna,-71.714354,-34.621683,2020,CL
Felidae,Leopardus guigna,-71.704419,-34.792071,2020,CL
Felidae,Leopardus geoffroyi,-64.099988,-42.703395,2012,AR
Felidae,Leopardus geoffroyi,-57.199159,-28.546224,2007,AR
Felidae,Leopardus tigrinus,-43.343,-21.762,NA,BR
Felidae,Leopardus geoffroyi,-59.144555,-23.312708,1973,PY
Felidae,Leopardus geoffroyi,-64.296326,-28.024682,2014,AR
Felidae,Leopardus tigrinus,-75.994834,5.674398,2019,CO
Felidae,Leopardus geoffroyi,-57.19594,-28.546227,2015,AR
Felidae,Leopardus geoffroyi,-64.461863,-31.540482,2020,AR
Felidae,Leopardus geoffroyi,-59.583483,-35.027817,2019,AR
Felidae,Leopardus geoffroyi,-60.282817,-29.454209,2019,AR
Felidae,Leopardus guigna,-71.922559,-39.397843,2019,CL
Felidae,Leopardus guttulus,-50.673909,-29.522734,2019,BR
Felidae,Leopardus geoffroyi,-56.728022,-27.51686,2011,AR
