gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1.52167059342158e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/72839459,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,UY,NA,Rocha,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-33.970358,-53.644409,783,NA,NA,NA,NA,NA,2013-02-10T06:28:00Z,10,2,2013,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,72839459,NA,Ramiro Pereira Garbero,2021-04-03T23:37:06Z,CC_BY_NC_4_0,Ramiro Pereira Garbero,Ramiro Pereira Garbero,NA,NA,2021-05-02T20:36:13Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52155749339613e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33736614,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,guigna,SUBSPECIES,Leopardus guigna guigna,Leopardus guigna guigna,NA,CL,NA,Los Lagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-42.334277,-73.974358,27661,NA,NA,NA,NA,NA,2019-09-27T22:21:00Z,27,9,2019,7193920,2434923,HUMAN_OBSERVATION,iNaturalist,Observations,33736614,NA,DarÃ­o De la Fuente,2019-10-02T02:46:43Z,CC_BY_4_0,DarÃ­o De la Fuente,DarÃ­o De la Fuente,NA,NA,2021-05-02T20:33:32Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52155491536159e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/72799902,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,AR,NA,Santa Fe,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-31.483287,-61.012476,725,NA,NA,NA,NA,NA,2021-04-01T17:28:00Z,1,4,2021,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,72799902,NA,MarÃ­a Zeta,2021-04-03T18:00:54Z,CC_BY_NC_4_0,MarÃ­a Zeta,MarÃ­a Zeta,NA,NA,2021-05-02T20:35:47Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52153145761879e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73130532,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,AR,NA,Santa Fe,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-31.48399,-61.011444,122,NA,NA,NA,NA,NA,2021-04-01T17:29:00Z,1,4,2021,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,73130532,NA,Pablo H Capovilla,2021-04-06T18:54:57Z,CC_BY_4_0,Pablo H Capovilla,Pablo H Capovilla,NA,NA,2021-05-02T20:35:40Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52152881881418e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/72910170,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,AR,NA,Corrientes,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-28.646919,-57.481546,50,NA,NA,NA,NA,NA,2005-12-01T00:00:00Z,1,12,2005,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,72910170,NA,Peter L Achuff,2021-04-04T17:20:37Z,CC_BY_4_0,Peter L Achuff,Peter L Achuff,NA,NA,2021-05-02T20:36:11Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84
1.52152808710295e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73313260,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,UY,NA,Maldonado,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-34.568534,-54.626148,426,NA,NA,NA,NA,NA,2016-10-09T00:09:00Z,9,10,2016,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,73313260,NA,Ramiro Pereira Garbero,2021-04-08T17:03:56Z,CC_BY_NC_4_0,Ramiro Pereira Garbero,Ramiro Pereira Garbero,NA,NA,2021-05-02T20:51:36Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.51866668714057e-314,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C6-8863-5040-E053-0514A8C0275F_,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)","Leopardus tigrinus (Schreber, 1775)",NA,GF,NA,NA,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,4.0705,-52.73528,5000,NA,NA,NA,NA,NA,2010-01-01T00:00:00Z,1,1,2010,2434930,2434930,HUMAN_OBSERVATION,UMS PatriNat,NA,NA,NA,Non renseignÃ© (Non renseignÃ©),NA,CC_BY_NC_4_0,NA,DonnÃ©es association Kwata - 2010 (Non renseignÃ©),NA,NA,2021-04-15T16:05:46Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1.51863632038378e-314,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C5-CAFB-09FB-E053-5514A8C02F89_,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)","Leopardus tigrinus (Schreber, 1775)",NA,GF,NA,NA,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,3.73168,-53.43138,5000,NA,NA,NA,NA,NA,2010-01-01T00:00:00Z,1,1,2010,2434930,2434930,HUMAN_OBSERVATION,UMS PatriNat,NA,NA,NA,Non renseignÃ© (Non renseignÃ©),NA,CC_BY_NC_4_0,NA,Non renseignÃ© (Non renseignÃ©),NA,NA,2021-04-15T16:05:46Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1.51860084004756e-314,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C2-C3E3-34A9-E053-3014A8C073B0_,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)","Leopardus tigrinus (Schreber, 1775)",NA,GF,NA,NA,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,3.69234,-53.26107,5000,NA,NA,NA,NA,NA,2010-01-01T00:00:00Z,1,1,2010,2434930,2434930,HUMAN_OBSERVATION,UMS PatriNat,NA,NA,NA,Non renseignÃ© (Non renseignÃ©),NA,CC_BY_NC_4_0,NA,Non renseignÃ© (Non renseignÃ©),NA,NA,2021-04-15T16:05:44Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1.51840111351616e-314,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C9-2C37-09FB-E053-5514A8C02F89_,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)","Leopardus tigrinus (Schreber, 1775)",NA,GF,NA,NA,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,4.58023,-52.13713,5000,NA,NA,NA,NA,NA,2010-01-01T00:00:00Z,1,1,2010,2434930,2434930,HUMAN_OBSERVATION,UMS PatriNat,NA,NA,NA,Non renseignÃ© (Non renseignÃ©),NA,CC_BY_NC_4_0,NA,Non renseignÃ© (Non renseignÃ©),NA,NA,2021-04-15T16:05:33Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
