"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"14","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2173","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","07","20",NA,"Brasil","Rio Grande do Sul","BR 293, Km 116","-53.466389","-31.528889","53° 27' 59''W","31° 31' 44''S",NA,NA,NA,"Pinheiro Machado",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"15","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2175","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","09","16",NA,"Brasil","Rio Grande do Sul","Estrada do Caverá","-55.566944","-30.060278","55°34' 1''W","30°3' 37''S",NA,NA,NA,"Alegrete",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"16","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2192","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","06","14",NA,"Brasil","Rio Grande do Sul","BR 116, Km 368","-51.572778","-30.666111","51° 34' 22''W","30°39' 58''S",NA,NA,NA,"Sentinela do Sul",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"17","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2183","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","10","15",NA,"Brasil","Rio Grande do Sul","BR 290","-51.167306","-30.008333","51° 10' 2.3''W","30°00' 30''S",NA,NA,NA,"Alegrete",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2177","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","09","03",NA,"Brasil","Rio Grande do Sul","BR 293, Km 355",NA,"-30.790278","55' 40' 03''W","30°47' 25''S",NA,NA,NA,"Santana do Livramento",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"19","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2178","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","09","03",NA,"Brasil","Rio Grande do Sul","BR 293, Km 355",NA,"-30.790278","55' 40' 03''W","30°47' 25''S",NA,NA,NA,"Santana do Livramento",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"20","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2172","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2013","07","31",NA,"Brasil","Rio Grande do Sul","BR 290",NA,"-30.23994","-05498404","-30.23994",NA,NA,NA,"Rosário do Sul",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"21","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1996","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","10","21",NA,"Brasil","Rio Grande do Sul","BR 290",NA,"-30.230469","54° 43' 55.86W","30°13' 49.69''S",NA,NA,NA,"Rosário do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2188","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2015","07","07",NA,"Brasil","Rio Grande do Sul","BR 290",NA,"-30.146944","49' 15' 40W","30°08' 49''S",NA,NA,NA,"Rosário do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2189","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2015","06","16",NA,"Brasil","Rio Grande do Sul","Tapes","-51.624722",NA,"51° 37' 29''W","30°43 34''S",NA,NA,NA,"Sentinela do Sul",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"24","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","703","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"1996","02","10",NA,"Brasil","Rio Grande do Sul","Arroio Canoas","-51.4956016540527","-29.3768997192383",NA,NA,NA,NA,NA,"Barão","16855","Macho","auto",NA,NA,NA,NA,NA,NA
"25","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1829","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2013","05","06",NA,"Brasil","Rio Grande do Sul","Passo dos enforcados","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,"Caçapava do Sul","50525","Macho","auto",NA,NA,NA,NA,NA,NA
"26","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","755","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,"-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,"Cachoeira do Sul","71201",NA,"auto",NA,NA,NA,NA,NA,NA
"27","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2181","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,"-51.812198638916","-30.8511009216309",NA,NA,NA,NA,NA,"Camaquã","49429","Macho","auto",NA,NA,NA,NA,NA,NA
"28","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","870","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2002","01","05",NA,"Brasil","Rio Grande do Sul",NA,"-51.5036010742188","-29.2975006103516",NA,NA,NA,NA,NA,"Carlos Barbosa","15359","Fêmea","auto",NA,NA,NA,NA,NA,NA
"29","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1781","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,"-54.6730995178223","-30.9827995300293",NA,NA,NA,NA,NA,"Dom Pedrito","68371","Macho","auto",NA,NA,NA,NA,NA,NA
"30","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2190","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,"-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,"Pelotas","51462","Macho","auto",NA,NA,NA,NA,NA,NA
