"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"61","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","2069","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","F.Saager",NA,"1999","06","13",NA,"Brasil","Espírito Santo","Rio do Norte","-40.529722","-20.100556","40º31'47W","20º06'02S","16",NA,NA,"Santa Leopoldina",NA,"Macho",NA,NA,NA,NA,NA,NA,"16"
"62","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","1957","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","S.L.Mendes",NA,"1997","01","01",NA,"Brasil","Minas Gerais","BR 262. Próximo a divisa MG/ES","-41.868333","-20.433333","41º52'06W","20º26'00S","1000",NA,NA,"Alto Caparaó",NA,"Fêmea",NA,NA,NA,NA,NA,NA,"1000"
"63","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","1837","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","S.L.Mendes","S.L.Mendes",NA,"1995","05","29",NA,"Brasil","Espírito Santo","Reserva Florestal da CVRD. Final da estrada do Paraju","-40.072222","-19.391111","40º04'20W","19º23'28S","33",NA,NA,"Linhares",NA,NA,NA,NA,NA,NA,NA,NA,"33"
"64","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","2418","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","J.I.Aleixo",NA,"2001","03","11",NA,"Brasil","Espírito Santo","Santa Lúcia. Rodovia Josil Espíndula. km20","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,"Macho",NA,NA,NA,NA,NA,NA,"655"
"65","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","2452","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","R.L.Teixeira",NA,"2002","09","18",NA,"Brasil","Espírito Santo","Serra do Mamão","-40.656944","-19.738889","40º39'25W","19º44'20S","120",NA,NA,"São Roque do Canaã",NA,"Macho",NA,NA,NA,NA,NA,NA,"120"
"66","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","314","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","Moraes",NA,"1990","12","02",NA,"Brasil","Espírito Santo","Rio Bonito. Aparecidinha. Estrada para o Radar Sindacta.","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,"Fêmea",NA,NA,NA,NA,NA,NA,"655"
"67","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","279","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","W.A.Hoffmann",NA,NA,"1954","03","06",NA,"Brasil","Espírito Santo","Nova Lombardia","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,"Fêmea",NA,NA,NA,NA,NA,NA,"655"
"68","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","2028","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","Eduardo Negri Oliveira",NA,"1998","10","23",NA,"Brasil","Espírito Santo","Santa Lúcia. Rodovia Josil Espíndula. Km17","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,"655"
"69","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","216","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","M.Passamani","C.Rocha",NA,"1988","01","01",NA,"Brasil","Espírito Santo","Proveniente de cativeiro.","-40.630556","-19.539444","40º37'50W","19º32'22S","86",NA,NA,"Colatina",NA,"Macho",NA,NA,NA,NA,NA,NA,"86"
"70","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","395","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","Gustavo Tomazelli",NA,"1991","01","01",NA,"Brasil","Espírito Santo","Bairro do Eco","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,"Fêmea",NA,NA,NA,NA,NA,NA,"655"
"71","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","3021","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha",NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-42.133889","-19.790278","42° 08' 02W","19° 47' 25S","614",NA,NA,"Caratinga",NA,NA,NA,NA,NA,NA,NA,NA,"614"
"72","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","3509","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Cristina Jaques da Cunha","M.B.N. da Silva",NA,"2009","02","01",NA,"Brasil","Espírito Santo","Próximo a cachoeira do Country Club","-40.635833","-19.926111","40° 38' 09W","19° 55' 34S","739",NA,NA,"Santa Teresa",NA,"Macho",NA,NA,NA,NA,NA,NA,"739"
"73","2019-07-12 14:51:29-03","UPF","CMUPF","27","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus","Noeli Zanella","GRANDO, João",NA,"2008","06","04",NA,"Brasil","Rio Grande do Sul","BR 285, trevo bairro Vera Cruz, PF. RS","-52.4067001342773","-28.2628002166748",NA,NA,NA,NA,NA,"Passo Fundo","25060",NA,"auto","Atropelado <ll>dwc_commonname:</ll> Gato-do-mato-pequeno","(Schreber, 1775)","2008","06","09",NA
"74","2008-07-08 00:00:00-03","FAPESP","SINBIOTA","18661","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-51.867802","-21.2278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2008-06-24 00:00:00-03","FAPESP","SINBIOTA","18484","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.7425","-21.6786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2008-06-17 00:00:00-03","FAPESP","SINBIOTA","18368","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.010601","-23.015301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2008-06-19 00:00:00-03","FAPESP","SINBIOTA","18389","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.313301","-22.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2008-06-19 00:00:00-03","FAPESP","SINBIOTA","18400","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.400799","-20.538601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2008-06-19 00:00:00-03","FAPESP","SINBIOTA","18416","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.555302","-24.708099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2008-06-23 00:00:00-03","FAPESP","SINBIOTA","18466","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.340801","-24.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2008-06-24 00:00:00-03","FAPESP","SINBIOTA","18468","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.780602","-20.5061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2005-09-14 00:00:00-03","FAPESP","SINBIOTA","10442","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Graziela Dotta",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.7635","-22.264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2008-06-23 00:00:00-03","FAPESP","SINBIOTA","18457","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.838901","-23.0058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2005-09-14 00:00:00-03","FAPESP","SINBIOTA","10445","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Graziela Dotta",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.764801","-22.4235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2005-09-14 00:00:00-03","FAPESP","SINBIOTA","10454","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Graziela Dotta",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.7118","-22.2449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17151","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49","-22.2167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17152","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.9333","-22.133301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17153","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.033299","-22.0833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17154","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.1833","-21.983299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17155","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.166699","-22.116699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2006-08-31 00:00:00-03","FAPESP","SINBIOTA","17156","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.099998","-22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2006-09-08 00:00:00-03","FAPESP","SINBIOTA","17263","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.916699","-22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2006-09-08 00:00:00-03","FAPESP","SINBIOTA","17264","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.900002","-22.4667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2006-09-04 00:00:00-03","FAPESP","SINBIOTA","17265","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Bauru¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.900002","-22.4667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2006-10-05 00:00:00-03","FAPESP","SINBIOTA","17300","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); MORELLATO, L. P. C. (1992); Equipe Técnica do DEPRN de Jundai¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.983299","-23.2833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2006-10-05 00:00:00-03","FAPESP","SINBIOTA","17301","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); MORELLATO, L. P. C. (1992); Equipe Técnica do DEPRN de Jundai¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.883301","-23.200001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2006-10-04 00:00:00-03","FAPESP","SINBIOTA","17303","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Aves da Serra da Cantareira [on line]; Ricsan Ltda (1992) - RIMA; SILVA, E. F. S. (1990); Equipe Técnica do DEPRN da Cantareira¹.",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.349998","-23.266701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2008-06-12 00:00:00-03","FAPESP","SINBIOTA","18338","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.541901","-22.9186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2008-06-12 00:00:00-03","FAPESP","SINBIOTA","18343","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-45.5914","-22.739401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2008-06-26 00:00:00-03","FAPESP","SINBIOTA","18535","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.059399","-23.802799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2008-06-26 00:00:00-03","FAPESP","SINBIOTA","18546","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.427799","-23.711901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2008-06-30 00:00:00-03","FAPESP","SINBIOTA","18584","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-48.3908","-21.9925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2008-07-01 00:00:00-03","FAPESP","SINBIOTA","18628","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-46.6339","-23.550301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2008-07-01 00:00:00-03","FAPESP","SINBIOTA","18644","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-47.75","-24.834999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2008-07-07 00:00:00-03","FAPESP","SINBIOTA","18653","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"MZUSP",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-45.070801","-23.433901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2014-12-09 00:00:00-02","FAPESP","SINBIOTA","21136","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Bruno Henrique Saranholi",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.686284","-22.42061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2014-12-09 00:00:00-02","FAPESP","SINBIOTA","21136","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Bruno Henrique Saranholi",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.686284","-22.42061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2014-12-09 00:00:00-02","FAPESP","SINBIOTA","21136","HumanObservation","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Bruno Henrique Saranholi",NA,NA,NA,NA,"South America","Brazil","SP",NA,"-49.686284","-22.42061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2021-01-07 16:18:19-03","UNICAMP","ZUEC-MAM","1523","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"Paiva, C.L.",NA,"1987","03","13",NA,"Brasil","São Paulo",NA,"-47.4","-22.56","47W24'00''","22S33'36''",NA,NA,"Pele","Limeira",NA,NA,NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE- Reg.093",NA,NA,NA,NA,NA
"110","2021-01-07 16:18:22-03","UNICAMP","ZUEC-MAM","1784","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"Emygdio Leite de Araujo Monteiro Filho",NA,"1994","09","24",NA,"Brasil","São Paulo","Rod. Campinas-Mogi Mirim","-47.06",NA,"47W03'36''","22S53'60''",NA,NA,"Pele e Crânio","Campinas",NA,"M",NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE",NA,NA,NA,NA,NA
"111","2021-01-07 16:18:29-03","UNICAMP","ZUEC-MAM","2384","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"L. Henrique",NA,"2004","04","22",NA,"Brasil","São Paulo","Serra do Mar, Pista Sul SP-125 Km 41 + 800","-46.33","-23.96","46W19'48''","23S57'36''",NA,NA,"Pele","Santos",NA,"M",NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE- Atropelado",NA,NA,NA,NA,NA
"112","2021-01-07 16:18:22-03","UNICAMP","ZUEC-MAM","1793","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"Kátia Facure",NA,"1993","08","23",NA,"Brasil","São Paulo",NA,"-46.549722222222","-23.110277777778","46W32'59''","23S06'37''",NA,NA,"Pele e Crânio","Atibaia",NA,"F",NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE",NA,NA,NA,NA,NA
"113","2021-01-07 16:18:27-03","UNICAMP","ZUEC-MAM","2178","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"José Perez Pombal Júnior",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Estrada da cidade de Guarujá","-46.712777777778","-21.305555555556","46W42'46","21S18'20",NA,NA,"Pele e Crânio","Guaxupé",NA,"M",NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE",NA,NA,NA,NA,NA
"114","2021-01-07 16:18:34-03","UNICAMP","ZUEC-MAM","2627","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Peter Crawshaw Júnior","Silmara Marques Allegretti",NA,"2011","10","11",NA,"Brasil","São Paulo","Próximo à faculdade de Engenharia Química da Unicamp","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Pele e crânio desarticulado","Campinas","23900","M","auto",NA,NA,"2013","04","12",NA
"115","2021-01-07 16:18:16-03","UNICAMP","ZUEC-MAM","1297","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus",NA,"Emygdio Leite de Araujo Monteiro Filho",NA,"1989","06","24",NA,"Brasil","São Paulo","Rodovia Campinas - Mogi Mirim","-47.06",NA,"47W03'36''","22S53'60''",NA,NA,"Pele e Mandíbula","Campinas",NA,"M",NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE- Encontrado morto na estrada",NA,NA,NA,NA,NA
"116","2021-01-07 16:18:24-03","UNICAMP","ZUEC-MAM","1965","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Sampaio, W. L.",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,"-39.455277777778","-13.048055555556","39W27'19''","13S02'53''",NA,NA,"Pele","São Miguel das Matas",NA,NA,NA,"Georreferenciado utilizando a ferramenta data cleaning/geoLoc <U+0096> CRIA/fonte municípios do IBGE",NA,NA,NA,NA,NA
"117","2015-03-23 16:03:13-03","UNEMAT","CM","CM552","S","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Oliveira, J. M.","-","2010","06","21","América do Sul","Brasil","MT","Br 158 Km 620","-52.1586","-14.05",NA,NA,NA,"seca",NA,"Água Boa","108287","M","auto","Habitat: Área alterada; Obs: Atropelado na BR 158",NA,NA,NA,NA,NA
"118","2015-04-15 15:18:42-03","UNEMAT","CM","CM568","S","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Pires, T.","-","2011","06","07","América do Sul","Brasil","MT","Br 158 km 678 (Córrego Capitão Décio)","-52.296444","-14.830306","52° 17' 47,2 W","14° 49' 49,1 S",NA,"seca",NA,"Barra do Garças",NA,"M",NA,"Obs: Atropelado na Ponte Capitão Décio, na margem direita (Divisa N. X. / B. Garças).",NA,NA,NA,NA,NA
