gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3079895569	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72839459	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		UY		Rocha	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.970358	-53.644409	783.0						2013-02-10T06:28:00	10	2	2013	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	72839459		Ramiro Pereira Garbero	2021-04-03T23:37:06	CC_BY_NC_4_0	Ramiro Pereira Garbero	Ramiro Pereira Garbero			2021-05-02T20:36:13.172Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3079666652	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33736614	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus guigna	guigna	SUBSPECIES	Leopardus guigna guigna	Leopardus guigna guigna		CL		Los Lagos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-42.334277	-73.974358	27661.0						2019-09-27T22:21:00	27	9	2019	7193920	2434923	HUMAN_OBSERVATION	iNaturalist	Observations	33736614		Darío De la Fuente	2019-10-02T02:46:43	CC_BY_4_0	Darío De la Fuente	Darío De la Fuente			2021-05-02T20:33:32.979Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3079661434	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72799902	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.483287	-61.012476	725.0						2021-04-01T17:28:00	1	4	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	72799902		María Zeta	2021-04-03T18:00:54	CC_BY_NC_4_0	María Zeta	María Zeta			2021-05-02T20:35:47.018Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3079613955	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73130532	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.48399	-61.011444	122.0						2021-04-01T17:29:00	1	4	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	73130532		Pablo H Capovilla	2021-04-06T18:54:57	CC_BY_4_0	Pablo H Capovilla	Pablo H Capovilla			2021-05-02T20:35:40.727Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3079608614	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72910170	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Corrientes	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.646919	-57.481546	50.0						2005-12-01T00:00:00	1	12	2005	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	72910170		Peter L Achuff	2021-04-04T17:20:37	CC_BY_4_0	Peter L Achuff	Peter L Achuff			2021-05-02T20:36:11.889Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
3079607133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73313260	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		UY		Maldonado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.568534	-54.626148	426.0						2016-10-09T00:09:00	9	10	2016	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	73313260		Ramiro Pereira Garbero	2021-04-08T17:03:56	CC_BY_NC_4_0	Ramiro Pereira Garbero	Ramiro Pereira Garbero			2021-05-02T20:51:36.761Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3073815595	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C6-8863-5040-E053-0514A8C0275F_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	4.0705	-52.73528	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Données association Kwata - 2010 (Non renseigné)			2021-04-15T16:05:46.363Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073754132	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C5-CAFB-09FB-E053-5514A8C02F89_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.73168	-53.43138	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Non renseigné (Non renseigné)			2021-04-15T16:05:46.452Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073682319	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C2-C3E3-34A9-E053-3014A8C073B0_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.69234	-53.26107	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Non renseigné (Non renseigné)			2021-04-15T16:05:44.962Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073278068	f946666e-67dc-4848-9fa8-2162f3559e33	BDBB97C9-2C37-09FB-E053-5514A8C02F89_	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus (Schreber, 1775)		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	4.58023	-52.13713	5000.0						2010-01-01T00:00:00	1	1	2010	2434930	2434930	HUMAN_OBSERVATION	UMS PatriNat				Non renseigné (Non renseigné)		CC_BY_NC_4_0		Non renseigné (Non renseigné)			2021-04-15T16:05:33.940Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
